date,Kejadian,Penyebab,Keterangan,Lokasi,Posisi,hujan_0,hujan_300,hujan_600,hujan_900,hujan_1200,hujan_1500,hujan_2100,min_hujan,max_hujan,avg_hujan
2020-03-24,Tidak Banjir,,,Cilacap,,0.0,0.2,0.0,0.0,0.1,3.2,0.9,0.0,3.2,0.6285714285714287
2020-03-25,Tidak Banjir,,,Cilacap,,3.4,2.0,0.5,0.0,0.1,0.1,0.0,0.0,3.4,0.8714285714285713
2020-03-26,Tidak Banjir,,,Cilacap,,0.3,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.6,0.2714285714285714
2020-03-27,Tidak Banjir,,,Cilacap,,3.5,1.7,0.9,0.5,1.7,4.8,1.7,0.5,4.8,2.1142857142857143
2020-03-28,Tidak Banjir,,,Cilacap,,0.0,0.6,0.0,0.2,0.4,7.8,2.6,0.0,7.8,1.657142857142857
2020-03-29,Banjir,,,Cilacap,"-7.62924, 108.963",0.0,0.0,0.0,0.3,1.4,5.1,1.1,0.0,5.1,1.1285714285714286
2020-03-30,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.4,0.5,1.5,0.0,1.5,0.3428571428571428
2020-03-31,Tidak Banjir,,,Cilacap,,0.4,3.1,0.9,0.4,0.1,0.1,1.7,0.1,3.1,0.9571428571428572
2020-04-01,Tidak Banjir,,,Cilacap,,1.4,0.3,0.6,0.7,0.4,0.0,0.0,0.0,1.4,0.4857142857142857
2020-04-02,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.2,9.7,0.0,0.3,0.0,9.7,1.457142857142857
2020-04-03,Banjir,,,Cilacap,"-7.75895, 108.94703",0.0,0.4,0.0,0.0,2.0,6.5,2.7,0.0,6.5,1.6571428571428573
2020-04-04,Banjir,,,Cilacap,"-7.58153, 108.93117",1.1,3.6,0.0,0.0,0.2,8.4,1.3,0.0,8.4,2.085714285714286
2020-04-05,Banjir,,,Cilacap,"-7.68367, 108.96291",0.3,0.0,0.0,0.1,0.4,1.3,1.6,0.0,1.6,0.5285714285714286
2020-04-06,Tidak Banjir,,,Cilacap,,1.5,0.4,0.0,0.3,0.4,7.8,1.7,0.0,7.8,1.7285714285714282
2020-04-07,Tidak Banjir,,,Cilacap,,0.3,4.0,1.3,0.6,0.5,0.1,0.0,0.0,4.0,0.9714285714285712
2020-04-08,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.2142857142857142
2020-04-09,Banjir,,,Cilacap,"-7.54908, 108.97051",0.0,0.0,0.2,0.1,7.3,1.0,2.1,0.0,7.3,1.5285714285714285
2020-04-10,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.1,1.3,0.0,0.0,1.3,0.2
2020-04-11,Tidak Banjir,,,Cilacap,,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0571428571428571
