Waktu,Kejadian,Penyebab,Keterangan,Lokasi,Posisi
2020-05-30,Banjir,,TMA 20 – 60 cm,Purworejo,"-7.66771, 109.83602"
2020-05-31,Banjir,,,Kebumen,"-7.89613, 109.65193"
2020-05-31,Banjir,,TMA 5 – 100 cm,Purworejo,"-7.60693, 109.94947"
2020-05-31,Banjir,,,Boyolali,"-7.54771, 110.53267"
2020-06-01,Banjir,,TMA 60 cm,Pekalongan,"-7.15145, 109.74393"
2020-06-02,Tidak Banjir,,,,
2020-06-03,Banjir,,TMA 30 - 100 cm,Cilacap,"-7.48938, 108.94362"
2020-06-03,Banjir,,,Pekalongan,"-7.18688, 109.56607"
2020-06-03,Banjir,,,Banjarnegara,"-7.29147, 109.66479"
2020-06-03,Banjir,,,Kebumen,"-7.86582, 109.74466"
2020-06-03,Banjir,,TMA 50 cm,Purworejo,"-7.82426, 109.9026"
2020-06-04,Tidak Banjir,,,,
2020-06-05,Tidak Banjir,,,,
2020-06-06,Tidak Banjir,,,,
2020-06-07,Tidak Banjir,,,,
2020-06-08,Banjir,,Kerugian Materil : • Kelurahan Bandengan Kec. Kendal : Limpas Rob menggenangi pemukiman dan jalan setinggi 15 – 30 cm. • Kelurahan Karangsari Kec. Kendal : Limpas Rob menggenangi jalan setinggi 20 cm & ada beberapa rumah yang tergenang setinggi 40 – 50 cm. • Desa Kartikajaya Kec. Patebon : tidak ada limpas ke pemukiman & warga sudah membuat tanggul di beberapa titik masuknya air secara mandiri. • Desa Wonorejo Kec. Kaliwungu : Limpas Rob menggenangi jalan dan pemukiman setinggi 15 cm mulai masuk pukul 14.00 WIB,Sragen,"-7.3808, 110.79678"
2020-06-09,Tidak Banjir,,,,
2020-06-10,Tidak Banjir,,,,
2020-06-11,Tidak Banjir,,,,
2020-06-12,Tidak Banjir,,,,
2020-06-13,Tidak Banjir,,,,
2020-06-14,Tidak Banjir,,,,
2020-06-15,Banjir,,,Kebumen,"-7.68327, 109.3907"
2020-06-16,Tidak Banjir,,,,
2020-06-17,Tidak Banjir,,,,
2020-06-18,Tidak Banjir,,,,
2020-06-19,Tidak Banjir,,,,
2020-06-20,Tidak Banjir,,,,
2020-06-21,Tidak Banjir,,,,
2020-06-22,Tidak Banjir,,,,
2020-06-23,Tidak Banjir,,,,
2020-06-24,Tidak Banjir,,,,
2020-06-25,Tidak Banjir,,,,
2020-06-26,Tidak Banjir,,,,
2020-06-27,Tidak Banjir,,,,
2020-06-28,Tidak Banjir,,,,
2020-06-29,Tidak Banjir,,,,
2020-06-30,Tidak Banjir,,,,
2020-07-01,Tidak Banjir,,,,
2020-07-02,Tidak Banjir,,,,
2020-07-03,Tidak Banjir,,,,
2020-07-04,Tidak Banjir,,,,
2020-07-05,Tidak Banjir,,,,
2020-07-06,Tidak Banjir,,,,
2020-07-07,Tidak Banjir,,,,
2020-07-08,Tidak Banjir,,,,
2020-07-09,Tidak Banjir,,,,
2020-07-10,Tidak Banjir,,,,
2020-07-11,Tidak Banjir,,,,
2020-07-12,Tidak Banjir,,,,
2020-07-13,Tidak Banjir,,,,
2020-07-14,Tidak Banjir,,,,
2020-07-15,Tidak Banjir,,,,
2020-07-16,Tidak Banjir,,,,
2020-07-17,Tidak Banjir,,,,
2020-07-18,Tidak Banjir,,,,
2020-07-19,Tidak Banjir,,,,
2020-07-20,Tidak Banjir,,,,
2020-07-21,Tidak Banjir,,,,
2020-07-22,Tidak Banjir,,,,
2020-07-23,Tidak Banjir,,,,
2020-07-24,Tidak Banjir,,,,
2020-07-25,Tidak Banjir,,,,
2020-07-26,Tidak Banjir,,,,
